Vendor_Formal_Name,Contact_Name,certification,Cert_Renewal_Date,Ethnicity,Address1,Address2,City,Borough,State,ZIP,MailingAddress1,MailingAddress2,MailingCity,MailingState,MailingZip,Website,Date_Of_Establishment,Aggregate_Bonding_Limit,Signatory_To_Union_Contracts,Business_Description,Goods_Materials_Suplier,Types_of_Construction_Projects,Job_Exp1_Name_of_Client,Job_Exp1_Value_of_Contract,Job_Exp1_Percent_Self_Performed,DATEOFJOB1,EXPERIENCE1,Job_Exp2_Name_of_Client,Job_Exp2_Value_of_Contract,Job_Exp2_Percent_Self_Performed,DATEOFJOB2,EXPERIENCE2,Job_Exp3_Name_of_Client,Job_Exp3_Value_of_Contract,Job_Exp3_Percent_Self_Performed,DATEOFJOB3,EXPERIENCE3,Job_Exp4_Name_of_Client,Job_Exp4_Value_of_Contract,,DATEOFJOB4,EXPERIENCE4
New Era Employment Services Inc.,Faustino Garcia,MBE,8/31/2017,HISPANIC,384 East 149th Street,Suite 320,Bronx,Bronx,NY,10455,384 East 149th Street,Suite 320,Bronx,New York,10455,http://NewEraEmployment.info,10/29/2002,,,"Services include, recruitment, direct job placement, job readiness, resume writing, security training, temp to perm stfffing CPR training, employment serives.",,,Goodwill Industries,0,,01-01-2012,"Provide job placement services for HRA contracts, ESP, SAP, and BTW programs.",Consortuim for workers,0,,01-01-2012,Recuritment direct job placement,,0,,,,,0,,,
"Body Dimensions Industries, Inc.",Herman Muirhead,MBE,11/30/2018,BLACK,1154 Intervale Avenue,,Bronx,Bronx,NY,10466,1154 Intervale Avenue,,Bronx,New York,10466,http://www.body-dimensions.com,09-01-2003,,,"Body Dimensions Industries, Inc. (BDI), established in 1997, specializes in Contract Manufacturing and product development of Personal Care, Health & Beauty products, such as body washes, lotions, cremes, hair care, pet care and household cleaners, inducing national brand equivalents. BDI's facilities provide an extensive range of services including blending and filling.",,,,0,,,,,0,,,,,0,,,,,0,,,
Tow-Arrific Inc.,Karen Steininger,WBE,,NON-MINORITY,1040 Bronx River Avenue,,Bronx,Bronx,NY,10472,336 East 126th Street,,New York,New York,10035,,12/23/2014,,,"Tow-Arrific performs all of the following services to individuals, businesses and governmental entities: towing, storage, impound, mechanical repairs, and scofflaw.",,,Paylock Inc,0,100,01-01-2016,NYC Scofflaw,Triangle AAA,0,100,01-01-2016,AAA Motor Club,Cross County  Motor Club,0,100,01-01-2016,Motor club,,0,,,
RB Professional Design & Construction,Rafael Baez,MBE,9/30/2018,HISPANIC,2200 Walton Avenue,Suite 6E,Bronx,Bronx,NY,10453,2200 Walton Avenue,Suite 6E,Bronx,New York,10453,http://www.rbdesignconstruction,3/15/2008,,,"RB Construction is a Full Home Improvement Licensed Contractor performing interior and exterior renovation, sheetrock, plaster, taping, painting, wooden and tile floor installation, finishing assembling cabinetry, structural framming, siding, mansory, concrete asphat driveway and sidewalk, roofing and repairing or refurnishing any room.",,,Permanent Mission to the UN,0,,05-01-2011,"Design Const, electrical, plumbing, painting, tiling, carpenting, HVAC",Le Frog,0,,11-10-2012,HVAC,Saint Luke M.T. Church,0,,1/15/2013,"Design, Electrical, Plumbing, painting, HVAC",,0,,,
Ricardo Acosta Design Studio Inc.,Ricardo Acosta,MBE,3/31/2019,HISPANIC,2500 Johnson Avenue,8A,Bronx,Bronx,NY,10463,2500 Johnson Avenue,8A,Bronx,New York,10463,http://www.ricardoacosta.com,1/13/2012,,,"Multidisciplinary full service design studio specializing in commercial and residential interior and furniture design. Our services include, Concept Design, Programming, Schematic Design, Construction Documents Project management, Construction Management, As-Build Documentation, Specifications & Purchasing, Transportation Logistics, Furnishing & On-Site layouts, installations, temporary exhibitions, renderings, furniture prototype, production outsourcing, brand recognition.",,,,0,,,,,0,,,,,0,,,,,0,,,
Noorcom,Wali Abdun-Noor,MBE,3/31/2018,BLACK,1214 Tinton Avenue,Bsmt.,Bronx,Bronx,NY,10456,95 Linwood Plaza,Suite #125,Fort Lee,New Jersey,7024,,3/25/1999,,,"A technology company that specializes in installation and maintenance of low power FM broadcast system wireless local wide area networks, web design and wireless emergency communications system development.",,,Radio Station WHER,0,,06-01-2009,"Complete renovation of radio station. Disconnected and moved all wiring equipment and accessories to temporary best location, design, engineer and install equipment in newly finished studio",Urban Telephone & Video,0,,01-01-2008,Engineering installation and configuration of Solar WIFI and back haul date systems,226 Will Street Tenants Association,0,,01-01-2006,Installation  and Maintenance of Intercom System,,0,,,
"Heinsen Products, Inc.",Ivette De Leon,MBE,8/31/2018,BLACK,312 Casanova Street,,Bronx,Bronx,NY,10474,P.O Box 955,,Bronx,New York,10455,http://www.heinsenproducts.com,12/27/2006,,,"We manufacture sausages, mostly hispanic, (Longaniza, Salachichon, Chorizo). Our services include private label.",,,"Arnold's Meat, Co",0,,01-01-1988,We produce private label sausages for them,"Western Beef, Inc",0,,01-01-1988,We sell our products to them,Bogopa Enterprises,0,,01-01-1993,We sell our products to them,,0,,,
Dave's Odd Job's Inc.,Alfredo Colon,MBE,6/29/2021,HISPANIC,930 Thieriot Ave,Apt. # 18K,Bronx,Bronx,NY,10473,930 Thieriot Ave,Apt. # 18K,Bronx,New York,10473,,7/28/2000,2000000,,"Our services include: Painting, Masonry, Carpentry, Stucco, Brick, Pavers, Renovations, Additions, Small Structures to Build, Plaster, Kitchens, Bathrooms, Flooring, ACT, VCT etc.",,,Derbra Rzthwell,0,,04-10-2016,Basement renovation,Sue Stein,0,,5/18/2016,Roof repairs,Frank Delrants,0,,05-03-2016,Parapett wallpaper,Condo at Riverview,0,,,
TD Contractor of the Bronx Corp.,Domingo Tatis,MBE,12/30/2020,HISPANIC,1386 Prospect Avenue,,Bronx,Bronx,NY,10459,1386 Prospect Avenue,,Bronx,New York,10459,,03-12-2002,,,"TD Contractor of the Bronx scope of services involve residential remodeling, carpentry and framing, drywall and insulation, plastering, house painting, and ceramic tile installation.",,,Harlem Green LLC,0,100,08-10-2015,"Fire proofing, Framing, Sheet-rocking, painting, light demo",160 West 118th Stereet Corp.,0,100,08-06-2015,"Painting, Plastering and cleaning",Gateway Properties LP,0,100,08-03-2015,"Painting, plastering, cleaning.",,0,,,
"PROMISE HOME CARE AGENCY, INC",Godfrey Echendu,MBE,12/31/2017,BLACK,772 EAST 233rd STREET,,BRONX,Bronx,NY,10466,772 EAST 233rd STREET,,BRONX,New York,10466,http://www.promisehomecareagency.com,01-01-2011,,,"We provide home health care services to individuals of different age demographics in their homes or place of their choice. These services includes; Nursing, home making, home health aides,nutrition & social work",,,,0,,,,,0,,,,,0,,,,,0,,,
Gail Phila Slater Administrative Business Services,Gail Slater,"MBE,WBE",05/30/2021;05/30/2021,BLACK,1651 Metropolitan Avenue,#5H,Bronx,Bronx,NY,10462,,,,,,http://www.wix.com/slatergailphila1947/administrative-business-svcs,01-01-2008,,,"Provide Administrative Business Services, Office Management, customer service and telephone marketing.",,,,0,,,,,0,,,,,0,,,,,0,,,
"Personal Certified Exterminating, Inc.",Oscar Grant,MBE,3/31/2018,BLACK,2430 Bronxwood Avenue,#6B,Bronx,Bronx,NY,10469,P.O. Box 1161,,Bronx,New York,10451,,04-01-2001,,,"We are a pest control applicator. We provide exterminating services for individuals, businesses and churches.",,,MRC Morrissiona Revitalization,0,,05-01-2009,Exterminating Services,MBD,0,,03-01-2010,Exterminating Services,,0,,,,,0,,,
"REO Integration, Inc.",Krishendat Ramdat,MBE,4/30/2019,ASIAN,4114A White Plains Road,,Bronx,Bronx,NY,10466,4114A White Plains Road,,Bronx,New York,10466,http://www.reointegration.com,06-08-2010,,,"Real Estate Brokerage Services: Marketing REO & Short Sales Properties, Loss Mitigation Counsellor, Foreclosure Specialist, Free Property Evaluation and Management, List & Sale of Residential Properties, Broker Price Opinion.",,,,0,,,,,0,,,,,0,,,,,0,,,
First Star Auto Repair Inc.,Ibrahim Issa,MBE,5/31/2018,HISPANIC,1982 Bronxdale Avenue,,Bronx,Bronx,NY,10462,813 Morris Park Avenue,,Bronx,New York,10462,,4/30/2013,,,"The business performs maintenance, repair and servicing on all automotive vehicles and auto motive equipment. Aslo truck washing and truck shultling.",,,USPS,0,,10-01-2010,Automotive Maintenance and Repair Services,U-Haul Truck Rental,0,,03-01-2010,Automotive Maintenance and Repair Services,"Railworks Corp. LK Comstock & Co., Inc.",0,,01-01-2011,Automotive Maintenance and Repair Services,,0,,03-01-2013,Complete Installation
Carol Garvin Consultants,Carol Garvin,"MBE,WBE",09/30/2018;09/30/2018,BLACK,2875 Bainbridge Avenue,Suite 7B,Bronx,Bronx,NY,10458,2875 Bainbridge Avenue,Suite 7B,Bronx,New York,10458,,10/27/2004,,,M/WBE compliance officer for construction projects. Monitoring contract awards and labor force participation for minority/female contractors and minority/female workers.,,,Tishman/Aecom,0,,01-01-2011,Verification of M/WBE utilization and labor force participation for both projects,Tishman/Aecom,0,,01-01-2012,Verification of M/WBE utilization and labor force participation for both projects,Tishman/Aecom,0,,01-01-2013,Auditing of concrete and steel contractor payroll records,,0,,,
"G & M Cleaning, Inc.",Gricelda Garcia,"MBE,WBE",11/30/2018;11/30/2018,HISPANIC,294 Bolton Avenue,,Bronx,Bronx,NY,10473,294 Bolton Avenue,,Bronx,New York,10473,http://www.gmcleaninginc.net,07-11-2011,,,"Full service family-operated cleaning company. Our services include carpet care, post construction-clean up & building maintenance services.",,,,0,,,,,0,,,,,0,,,,,0,,,
"Vaz Medical & Industrial Safety, Inc.",Emilio Vazquez,MBE,10/31/2017,HISPANIC,522 Beach Avenue,,Bronx,Bronx,NY,10473,522 Beach Avenue,,Bronx,New York,10473,http://www.vazmedical.com,2/27/2001,,,"1. All medical and hospital equipment- all laboratory equipment. 2. As construction firm, sewer and storm drain, litility water main and service, sidewalk, pedestrian and handicap. Ramps, maintenance and repair. Roadway, highway.",,,,0,,,,,0,,,,,0,,,,,0,,08-01-2007,Provided access control for the DEP Croton Water Treatment Plant
Jackson Income Tax Service,Theresa Jackson,"MBE,WBE",08/31/2017;08/31/2017,BLACK,1160 Topping Avenue,3A,Bronx,Bronx,NY,10457,1160 Topping Avenue,3A,Bronx,New York,10457,,9/19/1997,,,Income tax preparation: Fed & State E File included. Notary Services.,,,,0,,,,,0,,,,,0,,,,,0,,,
Classico Building Maintenance Inc.,Maria Rios,"MBE,WBE",12/31/2018;12/31/2018,HISPANIC,2580 Boston Road,,Bronx,Bronx,NY,10467,2580 Boston Road,,Bronx,New York,10467,http://www.classicobmi.com,2/21/2001,,"Bricklayers 1, Laborers 79, Op Eng 30",Classico provides full service janitorial services to include final cleaning and window cleaning services.,,,,0,,,,,0,,,,,0,,,,,0,,01-01-2014,Gei tcc montoring
"KZA Realty Group, Inc.",Kathleen Zamechansky,WBE,,NON-MINORITY,1200 Water Place,Suite M114,Bronx,Bronx,NY,10461,1200 Water Place,Suite M114,Bronx,New York,10461,http://www.kzarealty.com,03-03-1998,,,"Full service brokerage and consulting company providing real estate solutions for landlords, property owners, developers and retailers. Our services include: leasing strategy, marketing, communications, tenant qualification and representation, landlord representation, comparative lease analysis, commercial planning, project management, community relations and site acquisition.",,,D&J Services Inc.,0,,01-05-2012,"Provide consultant services in connection with the Zerega-Havemeyer services, work closely with the development team, coordinating with land-use attorneys and EDC, prepare documents pertaining to the project, coordinate public relations, et",The Children's Aid Society-NY,0,,03-12-2013,"Act as exclusive broker representing Children's Aid Society in connection with real estate acquisitions and leasing transactions via purchase or lease. Services include, but not limited to: inspect and and evauate properties, etc.","Triangle Equities Development Co., LLC",0,,01-01-2013,Consulting services to purchase from City of New York and develop the property known as Triangle Plaza Hub at 149th Street in the Bronx. Also provide community and government relations services and work closely with the development team.,,0,,,
Sandra Erickson Real Estate Inc.,Sandra Erickson,WBE,,NON-MINORITY,1394 Clay Avenue,# 1C,Bronx,Bronx,NY,10456,1394 Clay Avenue,# 1C,Bronx,New York,10456,http://www.serebronx.com,7/27/2000,,,"Full service property management firm specializing in multi-family, affordable housing management, low-income housing tax credit certified. Developer of affordable housing including gut rehab, tenant-in-place moderate & substantial rehab. Services include LIHTC Marketing, HDC Lottery.",,,,0,,,,,0,,,,,0,,,,,0,,6/28/2017,redesign clients website
Ryan's Renovation Corporation,Farah Alladin,MBE,7/30/2019,ASIAN,2431 Buck Street,,Bronx,Bronx,NY,10461,2431 Buck Street,,Bronx,New York,10461,,01-10-2013,,,"We remodel and renovate homes.  This includes: bath and kitchen renovations, general carpentry work including floor tiles, wood floors, kitchen cabinets, bathroom fixtures, tubs, and painting, sealing, and kitchen countertops.",No,Residential Building Construction,,0,,,,,0,,,,,0,,,,,0,,,
Bryce Construction Inc.,Patrick Nwokeji,MBE,9/30/2018,BLACK,3121 Kingsland Avenue,,Bronx,Bronx,NY,10466,3121 Kingsland Avenue,,Bronx,New York,10469,,8/18/2006,,,"Carpentry, masonry, concrete, roofing painting, coating etc.",,,,0,,,,,0,,,,,0,,,,,0,,,
"C3R Mega Auto Diagnostic, Inc.",Crystal Fuerte,MBE,10/31/2018,HISPANIC,11 West 169th Street,,Bronx,Bronx,NY,10452,11 West 169th Street,,Bronx,New York,10452,http://www.c3rmegaautodiagnostic.com,1/21/2010,,,"Full service auto repair shop specializing in general and electrical repairs. Our services include alignment and balancing, electrical work, engine/transmission rebuild, computerized diagnostics, heater and cooling services, brake service, tune up and NYS inspection.",,,,0,,,,,0,,,,,0,,,,,0,,,
"Nature Will Supply, Inc.",Denise Mafes,"MBE,WBE",01/31/2018;01/31/2018,HISPANIC,862 East 232nd Street,,Bronx,Bronx,NY,10466,P.O. Box 285,,Bronx,New York,10475,http://www.Naturewillsupply.com,01-08-2001,,,"Nature will supply: Health, Natural products, organic, raw wild, locallygrown, remedial and therapeutic. Bronx Guest House; travel, tourism, hospitality, inn, lodge & B &B.",,,,0,,,,,0,,,,,0,,,,,0,,,
Elite Deco-Eco Painting,Maria Khury,"MBE,WBE",04/30/2018;04/30/2018,HISPANIC,4438 Cayuga Avneue,Lower Level,Bronx,Bronx,NY,10471,4438 Cayuga Avneue,,Bronx,New York,10471,,9/28/2009,,,"We are experienced painting buildings,apartments,coops,condos,homes,commercial businesses and establishments,old & new constructions.We also do wallpapering and specialize in ecological green painting as well. we also do spray painting & graffiti removal.",,,Victory Foods,0,,11-01-2011,Painted Walls,US Antini Moving,0,,04-01-2012,Painted office of business,Lee Decorating,0,,06-01-2010,Painted all doors,,0,,11-01-2015,PROVIDE SECURITY SERVICE
JR Fordham Painting Corp.,Jorge Rosa,MBE,2/28/2021,HISPANIC,1415 Arnow Avenue,,Bronx,Bronx,NY,10469,1415 Arnow Avenue,,Bronx,New York,10469,,5/14/2012,,,"JR Fordham Painting Corp. is licensed by the City of New York as a general home improvement contractor - who specializes in painting, both interior and exterior.",,,,0,,,,,0,,,,,0,,,,,0,,07-01-2016,Custom Detailing per customer request
"CAPE Plumbing, Inc.",Anika Gowie,MBE,1/31/2018,BLACK,4008 A Bronxwood Avenue,,Bronx,Bronx,NY,10466,4008 A Bronxwood Avenue,,Bronx,New York,10466,http://www.capeplumbinginc.com,5/14/2004,,,"CAPE Plumbing provides new plumbing for renovations and new buildings; service repairs, boilers and hot water heaters installation, water meters & RPZ devices installation, ECB violation removal, beauty salons, dental offices with lab chairs, sinks, drains and waste.",,,Riverdale,0,,04-01-2011,Replace domstic water pipe,RS Construction,0,,10-01-2011,Install new dental lab,Prospect Auto Sales Repairs,0,,07-01-2011,Install waste vent,,0,,,
"Octagon Graphics, Inc.",Evelyn De Gonzalez,"MBE,WBE",08/31/2018;08/31/2018,HISPANIC,1305 Intervale Avenue,,Bronx,Bronx,NY,10459,1305 Intervale Avenue,,Bronx,New York,10459,,3/30/1998,,,"Octagon Graphics is a full service printing and promotional product business. We provide a range of services including artworks and logo design and imprint on products such as brochures, buisness forms, raffles, presentation folders. We offer 10,000 promotional products; caps, pillboxes, pens, bag, t-shirts, mugs, umbrellas.",,,,0,,,,,0,,,,,0,,,,,0,,,
"The Art of Becoming, Inc.",Nieema Alford,"MBE,WBE",06/29/2020;06/29/2020,BLACK,3664 White Plains Road,2nd Floor 5E,Bronx,Bronx,NY,10467,3664 White Plains Road,2nd Floor 5E,Bronx,New York,10467,http://www.theartofbecoming.org,10/31/2011,,,"Outpatient mental health counseling center for Individuals, couples, family and group therapy.  Treatment focuses include:mood disorder, alcohol and Substance abuse, grief/Loss, parenting groups, teen enrichment groups, couples groups, vocational/job development.",,,,0,,,,,0,,,,,0,,,,,0,,,
AC Design and Development,Aishah Coleman,"MBE,WBE",08/31/2018;08/31/2018,BLACK,4220 Wilder Avenue,,Bronx,Bronx,NY,10466,4220 Wilder Avenue,,Bronx,New York,10466,http://www.acdesigndevelopmentcorp.com,02-01-2012,,,"We are a full service interior decorating service, including kitchen/bath design, color consultation, interior finish selection, lighting and interior layout.",,,,0,,,,,0,,,,,0,,,,,0,,,
Nathan Enterprises LLC,Hugh Campbell,"MBE,EBE",02/27/2022;02/27/2022,BLACK,676 East 234th,,Bronx,Bronx,NY,10466,676 East 234th,,Bronx,New York,10466,,08-12-2012,,,Construction,Yes,Residential Building Construction,Siska Northeast,0,100,04-01-2016,Gas Enclousure,Timothy Foley Construction,0,100,06-01-2015,Gas Enclousure,Sporthech,0,100,05-01-2015,NYC Housing,,0,,01-01-2017,Asbestos abatement
Monson Services,Abdoulaye Bangoura,MBE,4/29/2022,BLACK,1314 Meriam Ave,#5A,Bronx,Bronx,NY,10452,P O Box 212,,Bronx,New York,10452,,10-02-2014,,,"Goods and Services, consulting, cleaning, printing, office and medical supplies, couriers.",,,,0,,,,,0,,,,,0,,,,,0,,,
"Quintex Pest Control, Inc.",Isaiah Obaro-Best,MBE,10/31/2019,BLACK,1715 Boston Road,,Bronx,Bronx,NY,10460,1715 Boston Road,,Bronx,New York,10460,http://quin-tex.com,4/28/2006,,,Extermination/Pest Control.,,,Catholic Guardian Services,0,,6/25/2016,Bed-bug treatment/extermination.,Prestige Management,0,,03-05-2016,Bed-bug treatment/extermination.,Addicts Rehabilitation Center,0,,1/15/2015,Bed-bug treatment/extermination.,,0,,,
"LDA Compliance Consulting, Inc.",Lorraine D'Angelo,WBE,,NON-MINORITY,5700 Arlington Avenue,Unit 3U,Bronx,Bronx,NY,10471,5700 Arlington Avenue,Unit 3U,Bronx,New York,10471,http://www.LDAcomplianceconsulting.com,12-05-2014,,,"Consulting, diversity and inclusion policy and practices, compliance monitoring, corporate policy, risk management, ethics, integrity monitoring, training and education, DBE, WBE, MBE LBE SBE SBA veteran policy, plan and program development and implementation, prevailing wage, Davis Bacon, Buy America, wage and hour, EEO, Affirmative Action, proactive ethics and compliance programs, document retention, privacy, procurement laws, conflicts of interests, legal consulting, outreach, diversity and inclusion compliance on alternative delivery construction projects (Design Build and P3), legal and regulatory compliance, assessment, Code of Conduct, Project management, oversight contract administration, investigations including construction and transportation industry fraud, corruption, due diligence, corporate investigations, compliance review, business development and technology assistance, education and training.",,,,0,,,,,0,,,,,0,,,,,0,,,
"CBMS, Inc.",George Martin,MBE,8/30/2022,BLACK,3230 Barker Avenue,,Bronx,Bronx,NY,10467,3230 Barker Avenue,,Bronx,New York,10467,,1/16/2014,,,Repair and maintenance of office machines and sales of office machine supplies.,,,,0,,,,,0,,,,,0,,,,,0,,,
"Luz Electric & Control Systems, Inc.",Luis Correa,MBE,1/30/2022,HISPANIC,714 East 180th Street,,Bronx,Bronx,NY,10457,714 East 180th Street,,Bronx,New York,10457,http://www.luzcontrolsystems.com,8/31/2003,,,"Luz Electric & Control Systems Inc. provides a wide range of electrical services from industrial, commercial, and residential work. This includes profesional experience in installations, repairs, maintenance of electrical systems, fire protection and security. We specialize in new residential housing projects, industrial facilities, alterations, building automation systems, and HVAC controls.",,,Lemle Wolf Co,0,,07-01-2013,Complete Installation,CWC Construction,0,,01-01-2015,Complete Installation,Penn Enterprisise,0,,01-01-2016,Complete Installation,Trio Construction,0,,,
Tribeca Air Conditioning Corp,Ricardo Cohen,MBE,9/29/2022,BLACK,960 East 225th Street,,Bronx,Bronx,NY,10466,960 East 225th Street,,Bronx,New York,10466,,10/16/2013,,,Tribeca AirConditioning corporation is a HVAC contractor that provides installation and maintenance services to HVAC units in residential and commercial properties. We specialize in custom ductwork and installation as well as installation of radiant heat and electrical work.,No,Residential Building Construction,Lombardy Hotel,0,100,1/30/2017,Maintanance on multiple HVAC asystems throughout the hotep,ARI Group,0,100,04-12-2016,Installed mitsubishi electric cooling & heaging Central unit,Brown Harris Stevens,0,100,7/14/2016,Diagnose unit Checking for proper operating charge change fan motor,,0,,,
Paulose & Associates PLLC,Mathew Paulose Jr. Esq.,MBE,10/30/2019,ASIAN,5676 Riverdale Avenue,Suite 314,Bronx,Bronx,NY,10471,5676 Riverdale Avenue,,Bronx,New York,10471,http://www.paulosepllc.com,02-04-2013,,,"Law firm providing legal services in the areas of, among others, corporate, non-profit, and small business representation; contract negotiations, drafting, and review; labor and employment matters; and litigation.",,,,0,,,,,0,,,,,0,,,,,0,,,
